Player,Position,Age,Teams
Goran Dragić,PG,34,MIA
Andre Drummond,C,27,TOT
Andre Drummond,C,27,CLE
Andre Drummond,C,27,LAL
Jared Dudley,PF,35,LAL
Kris Dunn,PG,26,ATL
Kevin Durant,PF,32,BRK
Anthony Edwards,SG,19,MIN
Carsen Edwards,SG,22,BOS
CJ Elleby,SF,20,POR
Henry Ellenson,PF,24,TOR
Wayne Ellington,SG,33,DET
Joel Embiid,C,26,PHI
James Ennis III,SF,30,ORL
Drew Eubanks,C,23,SAS
Dante Exum,SG,25,CLE
Tacko Fall,C,25,BOS
Derrick Favors,C,29,UTA
Cristiano Felício,C,28,CHI
Terrance Ferguson,SG,22,PHI
Bruno Fernando,C,22,ATL
Yogi Ferrell,PG,27,TOT
Yogi Ferrell,PG,27,CLE
Yogi Ferrell,PG,27,LAC
Dorian Finney-Smith,PF,27,DAL
Malik Fitts,PF,23,LAC
Malachi Flynn,PG,22,TOR
Bryn Forbes,SG,27,MIL
Trent Forrest,PG,22,UTA
Evan Fournier,SF-SG,28,TOT
Evan Fournier,SF,28,ORL
Evan Fournier,SG,28,BOS
De'Aaron Fox,PG,23,SAC
Robert Franks,PF,24,ORL
Tim Frazier,PG,30,MEM
Enes Freedom,C,28,POR
Markelle Fultz,PG,22,ORL
Wenyen Gabriel,PF,23,NOP
Daniel Gafford,PF-C,22,TOT
Daniel Gafford,PF,22,CHI
Daniel Gafford,C,22,WAS
Danilo Gallinari,PF,32,ATL
Langston Galloway,SG,29,PHO
Darius Garland,PG,21,CLE
Marc Gasol,C,36,LAL
Rudy Gay,PF,34,SAS
Paul George,SF,30,LAC
Taj Gibson,C,35,NYK
Harry Giles,C,22,POR
Shai Gilgeous-Alexander,SG,22,OKC
Anthony Gill,PF,28,WAS
Freddie Gillespie,PF,23,TOR
Rudy Gobert,C,28,UTA
Brandon Goodwin,PG,25,ATL
Aaron Gordon,PF,25,TOT
Aaron Gordon,PF,25,ORL
Aaron Gordon,PF,25,DEN
Eric Gordon,SG,32,HOU
Devonte' Graham,PG,25,CHO
Jerami Grant,SF,26,DET
Danny Green,SF,33,PHI
Draymond Green,PF,30,GSW
JaMychal Green,PF,30,DEN
Javonte Green,SF-SG,27,TOT
Javonte Green,SF,27,BOS
Javonte Green,SG,27,CHI
Jeff Green,C,34,BRK
Josh Green,SG,20,DAL
Blake Griffin,PF,31,TOT
Blake Griffin,PF,31,DET
Blake Griffin,PF,31,BRK
Kyle Guy,PG,23,SAC
Rui Hachimura,PF,22,WAS
Ashton Hagans,PG,21,MIN
Tyrese Haliburton,PG,20,SAC
Donta Hall,PF,23,ORL
Josh Hall,SF,20,OKC
R.J. Hampton,SG-PG,19,TOT
R.J. Hampton,PG,19,DEN
R.J. Hampton,SG,19,ORL
Tim Hardaway Jr.,SG,28,DAL
James Harden,PG-SG,31,TOT
James Harden,SG,31,HOU
James Harden,PG,31,BRK
Maurice Harkless,PF-SF,27,TOT
Maurice Harkless,SF,27,MIA
Maurice Harkless,PF,27,SAC
Jared Harper,PG,23,NYK
Montrezl Harrell,C,27,LAL
Gary Harris,SG,26,TOT
Gary Harris,SG,26,DEN
Gary Harris,SG,26,ORL
Jalen Harris,SG,22,TOR
Joe Harris,SF,29,BRK
Tobias Harris,PF,28,PHI
Shaquille Harrison,SG,27,TOT
Shaquille Harrison,SG,27,UTA
Shaquille Harrison,SG,27,DEN
Josh Hart,SF,25,NOP
Isaiah Hartenstein,C,22,TOT
Isaiah Hartenstein,C,22,DEN
Isaiah Hartenstein,C,22,CLE
Udonis Haslem,C,40,MIA
Jaxson Hayes,C,20,NOP
Killian Hayes,PG,19,DET
Gordon Hayward,SF,30,CHO
Juancho Hernangómez,PF,25,MIN
Willy Hernangómez,C,26,NOP
Tyler Herro,SG,21,MIA
Buddy Hield,SG,28,SAC
George Hill,PG,34,TOT
